PlateNumb,RouteUID,RouteName,SubRouteUID,SubRouteName,Direction,StopUID,StopName,StopSequence,DutyStatus,BusStatus,A2EventType,GPSTime,TripStartTime,TripStartTimeType
042-U5,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15318,小南門,23,1,0,1,2025-10-18T19:58:40+08:00,2025-10-18T19:15:43+08:00,0
208-U5,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15310,捷運松江南京站,15,1,0,1,2025-10-18T20:00:33+08:00,2025-10-18T19:40:45+08:00,0
258-U5,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15339,板橋監理站,45,1,0,0,2025-10-18T20:01:06+08:00,2025-10-18T18:50:38+08:00,0
265-U5,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15310,捷運松江南京站,15,1,0,1,2025-10-18T20:00:39+08:00,2025-10-18T19:41:50+08:00,1
EAA-150,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15218,連城路,27,1,0,0,2025-10-18T20:00:50+08:00,2025-10-18T19:15:00+08:00,0
EAA-152,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15330,台貿一村,36,1,0,1,2025-10-18T20:00:55+08:00,2025-10-18T19:05:32+08:00,0
EAA-153,TPE19108,307西藏三民,TPE161408,307西藏往撫遠街,0,TPE213018,電信訓練所,17,1,0,1,2025-10-18T20:00:50+08:00,2025-10-18T19:29:46+08:00,0
EAA-155,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15339,板橋監理站,45,1,0,1,2025-10-18T20:00:39+08:00,2025-10-18T18:53:08+08:00,0
EAA-156,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15315,臺北車站(忠孝),20,1,0,0,2025-10-18T20:01:08+08:00,2025-10-18T19:32:41+08:00,0
EAA-157,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15238,萬大路,39,1,0,0,2025-10-18T20:01:08+08:00,2025-10-18T18:55:48+08:00,0
EAA-158,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15288,莊敬里,66,2,,1,2025-10-18T19:58:47+08:00,2025-10-18T18:09:03+08:00,0
EAL-0072,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15201,大庭新村,7,1,0,0,2025-10-18T20:00:48+08:00,2025-10-18T19:53:48+08:00,0
EAL-0073,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15246,捷運西門站,43,1,0,0,2025-10-18T19:59:12+08:00,2025-10-18T18:35:46+08:00,0
EAL-0075,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE153797,深丘里(板橋放送所),50,1,0,0,2025-10-18T20:00:40+08:00,2025-10-18T18:45:34+08:00,0
EAL-0076,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15339,板橋監理站,45,1,0,1,2025-10-18T20:00:32+08:00,2025-10-18T18:55:32+08:00,0
EAL-0077,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE201702,捷運中和站,33,1,0,0,2025-10-18T20:00:59+08:00,2025-10-18T19:05:09+08:00,0
EAL-0078,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15276,南京三民路口,58,1,0,0,2025-10-18T20:00:58+08:00,2025-10-18T17:57:53+08:00,0
EAL-0079,TPE19108,307西藏三民,TPE161408,307西藏往撫遠街,0,TPE213003,臺北客運板橋前站(藝文),1,1,0,0,2025-10-18T20:00:09+08:00,2025-10-18T20:00:09+08:00,0
EAL-0080,TPE19108,307西藏三民,TPE161408,307西藏往撫遠街,0,TPE213041,廈安里,40,1,0,0,2025-10-18T20:01:05+08:00,2025-10-18T19:00:57+08:00,0
EAL-0086,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE194689,臺北客運板橋前站(藝文),62,2,,1,2025-10-18T20:00:41+08:00,2025-10-18T18:15:38+08:00,0
EAL-0087,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15226,連城景平路(暫時裁撤),32,1,0,0,2025-10-18T20:00:55+08:00,2025-10-18T19:10:46+08:00,0
EAL-0089,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15207,新北板橋公車站,13,1,0,0,2025-10-18T20:00:03+08:00,2025-10-18T19:35:49+08:00,0
EAL-0091,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15307,捷運南京復興站,12,1,0,1,2025-10-18T20:00:47+08:00,2025-10-18T19:45:33+08:00,0
EAL-0092,TPE19108,307西藏三民,TPE161408,307西藏往撫遠街,0,TPE213066,莊敬里,65,1,0,1,2025-10-18T19:59:33+08:00,2025-10-18T18:00:03+08:00,0
