PlateNumb,RouteUID,RouteName,SubRouteUID,SubRouteName,Direction,StopUID,StopName,StopSequence,DutyStatus,BusStatus,A2EventType,GPSTime,TripStartTime,TripStartTimeType
208-U5,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15252,行政院,46,1,0,1,2025-10-18T08:42:53+08:00,2025-10-18T07:23:00+08:00,0
258-U5,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15205,捷運府中站(府中路),11,1,0,1,2025-10-18T08:40:57+08:00,2025-10-18T08:24:53+08:00,0
EAA-150,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15215,積穗國中,24,1,0,1,2025-10-18T08:42:09+08:00,2025-10-18T07:56:57+08:00,0
EAA-151,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15290,民生國中,64,1,0,1,2025-10-18T08:42:39+08:00,2025-10-18T07:17:05+08:00,0
EAA-152,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15317,捷運西門站,22,1,0,1,2025-10-18T08:42:27+08:00,2025-10-18T08:10:38+08:00,0
EAA-155,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15303,南京公寓(捷運南京三民),8,1,0,1,2025-10-18T08:42:54+08:00,2025-10-18T08:35:44+08:00,0
EAA-156,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15280,南松山(南京),60,1,0,0,2025-10-18T08:41:23+08:00,2025-10-18T07:09:45+08:00,0
EAA-157,TPE19108,307西藏三民,TPE161408,307西藏往撫遠街,0,TPE213065,新益里,64,1,0,0,2025-10-18T08:42:48+08:00,2025-10-18T06:59:53+08:00,0
EAA-158,TPE19108,307西藏三民,TPE161408,307西藏往撫遠街,0,TPE213025,積穗國中,24,1,0,1,2025-10-18T08:41:48+08:00,2025-10-18T07:59:52+08:00,0
EAL-0072,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE153800,深丘里(板橋放送所),15,1,0,0,2025-10-18T08:42:22+08:00,2025-10-18T08:10:52+08:00,0
EAL-0075,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15384,民族區運路口,49,1,0,1,2025-10-18T08:43:07+08:00,2025-10-18T07:35:33+08:00,0
EAL-0077,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15209,電信訓練所,17,1,0,1,2025-10-18T08:42:35+08:00,2025-10-18T08:06:12+08:00,0
EAL-0080,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15280,南松山(南京),60,1,0,0,2025-10-18T08:42:45+08:00,2025-10-18T06:54:51+08:00,0
EAL-0081,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE153798,新北市政府(新府路),51,1,0,0,2025-10-18T08:42:19+08:00,2025-10-18T07:25:31+08:00,0
EAL-0082,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15288,莊敬里,66,1,0,1,2025-10-18T08:37:01+08:00,2025-10-18T06:46:51+08:00,0
EAL-0083,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15330,台貿一村,36,1,0,1,2025-10-18T08:43:07+08:00,2025-10-18T07:43:07+08:00,0
EAL-0086,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE194689,臺北客運板橋前站(藝文),62,1,0,1,2025-10-18T08:37:46+08:00,2025-10-18T07:05:37+08:00,0
EAL-0089,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15211,環球購物中心,19,1,0,1,2025-10-18T08:42:50+08:00,2025-10-18T08:08:52+08:00,0
EAL-0091,TPE19108,307西藏三民,TPE161407,307西藏往板橋前站,1,TPE213089,聯合醫院和平院區,23,1,0,0,2025-10-18T08:42:39+08:00,2025-10-18T08:00:33+08:00,0
EAL-0095,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15278,南京公寓(捷運南京三民),59,1,0,1,2025-10-18T08:43:01+08:00,2025-10-18T07:13:46+08:00,0
EAL-0096,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15311,南京吉林路口,16,1,0,0,2025-10-18T08:42:54+08:00,2025-10-18T08:23:32+08:00,1
EAL-0097,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15280,南松山(南京),60,1,0,0,2025-10-18T08:41:24+08:00,2025-10-18T07:06:55+08:00,0
EAL-0098,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15198,板橋國中(435藝文特區),4,1,0,0,2025-10-18T08:43:02+08:00,2025-10-18T08:39:51+08:00,0
EAL-0100,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15313,中山市場,18,1,0,0,2025-10-18T08:41:45+08:00,2025-10-18T08:15:41+08:00,0
EAL-1157,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15252,行政院,46,1,0,1,2025-10-18T08:42:37+08:00,2025-10-18T07:24:56+08:00,0
EAL-1158,TPE19108,307西藏三民,TPE161407,307西藏往板橋前站,1,TPE213110,板橋監理站,44,1,0,1,2025-10-18T08:42:50+08:00,2025-10-18T07:30:41+08:00,0
EAL-1160,TPE19108,307西藏三民,TPE161407,307西藏往板橋前站,1,TPE213074,南京三民路口,8,1,0,0,2025-10-18T08:41:55+08:00,2025-10-18T08:30:36+08:00,0
EAL-1162,TPE19108,307西藏三民,TPE161407,307西藏往板橋前站,1,TPE213127,臺北客運板橋前站(藝文),61,1,0,1,2025-10-18T08:39:28+08:00,2025-10-18T07:00:32+08:00,0
EAL-1163,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE59444,萬坪公園,53,1,0,0,2025-10-18T08:42:37+08:00,2025-10-18T07:13:10+08:00,0
EAL-1167,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15290,民生國中,64,1,0,1,2025-10-18T08:42:46+08:00,2025-10-18T07:03:00+08:00,0
EAL-1168,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15288,莊敬里,66,2,,1,2025-10-18T08:42:14+08:00,2025-10-17T17:57:04+08:00,0
EAL-1170,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15230,果菜市場,35,1,0,0,2025-10-18T08:43:07+08:00,2025-10-18T07:44:58+08:00,0
EAL-3132,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15319,聯合醫院和平院區,24,1,0,0,2025-10-18T08:42:29+08:00,2025-10-18T08:03:31+08:00,1
EAL-3133,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15323,西藏路口,28,1,0,1,2025-10-18T08:42:55+08:00,2025-10-18T07:55:37+08:00,0
EAL-3135,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE153799,新北市政府(新府路),14,1,0,1,2025-10-18T08:41:50+08:00,2025-10-18T08:15:51+08:00,0
EAL-3136,TPE19108,307西藏三民,TPE161408,307西藏往撫遠街,0,TPE213043,聯合醫院和平院區,42,1,0,1,2025-10-18T08:41:29+08:00,2025-10-18T07:30:08+08:00,0
EAL-3138,TPE16111,307,TPE157462,307莒光往板橋前站,1,TPE15387,板橋戶政事務所,55,1,0,1,2025-10-18T08:42:43+08:00,2025-10-18T07:15:23+08:00,0
EAL-3139,TPE16111,307,TPE157463,307莒光往撫遠街,0,TPE15238,萬大路,39,1,0,0,2025-10-18T08:43:03+08:00,2025-10-18T07:33:54+08:00,0
EAL-3150,TPE19108,307西藏三民,TPE161408,307西藏往撫遠街,0,TPE213010,板橋戶政事務所,9,1,0,1,2025-10-18T08:42:07+08:00,2025-10-18T08:30:53+08:00,0
